Number,State,R2 score,Param activation_l0,Param activation_l1,Param activation_l2,Param activation_l3,Param activation_l4,Param batch_size,Param epoch,Param gmm_seed,Param init_params_gmm,Param last_activation,Param learning_rate,Param loss,Param max_iter,Param n_components,Param n_init,Param n_layers,Param n_units_l0,Param n_units_l1,Param n_units_l2,Param n_units_l3,Param n_units_l4,Param optimizer,Param seed
244,COMPLETE,0.47375726,sigmoid,relu,relu,,,44,570,10,random,lambda,0.0013640487603410586,huber_loss,40,5,30,3,8,44,62,,,RMSprop,36
245,COMPLETE,0.72786137,sigmoid,relu,relu,,,40,590,1,random,lambda,0.0009006058361206606,huber_loss,30,5,20,3,18,36,28,,,RMSprop,43
246,COMPLETE,0.42849072,sigmoid,relu,tanh,,,40,570,15,random,lambda,0.0009032243841734203,huber_loss,30,5,20,3,18,36,58,,,RMSprop,33
247,COMPLETE,-0.46726003,tanh,relu,relu,,,42,590,0,random,lambda,0.0010873707721258388,huber_loss,30,5,20,3,18,28,34,,,RMSprop,42
248,COMPLETE,0.0190822,sigmoid,relu,relu,,,76,620,6,random,lambda,0.0014099892413382688,huber_loss,30,5,20,3,20,38,26,,,RMSprop,33
249,COMPLETE,0.60866572,sigmoid,relu,tanh,,,44,560,3,random,lambda,0.0011436495483757641,mse_loss,30,5,20,3,18,36,54,,,Adam,43
250,COMPLETE,-0.02265283,sigmoid,relu,relu,,,38,330,19,random,lambda,0.0009326809126024445,huber_loss,30,5,20,3,16,28,22,,,RMSprop,47
251,COMPLETE,0.32375029,sigmoid,relu,tanh,,,78,390,4,random,lambda,0.00164410499389236,huber_loss,40,5,30,3,20,40,24,,,RMSprop,36
252,COMPLETE,-0.21368897,sigmoid,tanh,relu,,,46,360,0,k-means++,lambda,0.0008064316717856365,huber_loss,50,5,20,3,14,34,54,,,RMSprop,23
253,COMPLETE,0.74774253,sigmoid,sigmoid,relu,,,36,580,7,random,lambda,0.0012406406735992813,huber_loss,30,5,80,3,10,36,22,,,RMSprop,84
254,COMPLETE,0.12818121,sigmoid,sigmoid,relu,,,38,580,5,random,lambda,0.001196340564932341,huber_loss,30,5,80,3,10,34,20,,,RMSprop,45
255,COMPLETE,0.11668768,sigmoid,sigmoid,relu,,,40,610,7,random,lambda,0.0009781286582171895,huber_loss,30,5,80,3,10,36,22,,,RMSprop,79
256,COMPLETE,0.05083072,sigmoid,sigmoid,relu,,,76,560,9,random,lambda,0.0007381757026538077,huber_loss,30,5,10,3,10,38,30,,,RMSprop,84
257,COMPLETE,0.18837738,sigmoid,sigmoid,relu,,,36,590,35,random,lambda,0.0005771399266836502,huber_loss,30,5,80,3,8,36,24,,,RMSprop,52
258,COMPLETE,0.32750526,sigmoid,sigmoid,relu,,,80,550,12,random,lambda,0.0013335948954327768,huber_loss,30,5,80,3,8,38,28,,,RMSprop,80
259,COMPLETE,-1.22682757,relu,relu,relu,,,62,890,2,random_from_data,lambda,0.0010549212268650657,huber_loss,40,5,80,3,6,36,48,,,RMSprop,81
260,COMPLETE,0.60694015,sigmoid,relu,relu,,,36,640,3,random,lambda,0.0008701970332093413,huber_loss,40,5,80,3,40,40,20,,,RMSprop,77
261,COMPLETE,0.57978921,sigmoid,relu,relu,,,74,620,7,random,lambda,0.0012128984399372342,huber_loss,30,5,80,3,22,24,20,,,Adam,38
262,COMPLETE,-0.31693035,relu,relu,relu,,,68,670,1,random,lambda,0.0013866851400663534,huber_loss,40,5,10,3,12,34,60,,,RMSprop,83
263,COMPLETE,0.63026307,sigmoid,relu,relu,,,78,580,33,random,lambda,0.000994292608537426,huber_loss,40,5,80,3,20,46,28,,,RMSprop,85
264,COMPLETE,0.47703889,tanh,sigmoid,relu,,,76,610,4,random,,0.0007202581226853687,huber_loss,40,5,30,3,18,30,22,,,RMSprop,10
265,COMPLETE,-0.09693729,sigmoid,relu,relu,,,72,590,0,random,lambda,0.0008625172639096507,huber_loss,40,5,80,3,12,50,58,,,RMSprop,41
266,COMPLETE,-0.19485787,relu,relu,relu,,,54,550,6,random,lambda,0.000580799691617008,huber_loss,50,5,80,3,10,38,52,,,RMSprop,82
267,COMPLETE,0.6383235,sigmoid,relu,tanh,,,40,300,37,random,lambda,0.0015088571682515246,mse_loss,30,5,70,3,14,10,50,,,RMSprop,46
268,COMPLETE,0.52396425,sigmoid,relu,relu,,,70,570,4,random,lambda,0.0010848275300185015,huber_loss,40,5,50,3,16,42,56,,,RMSprop,24
269,COMPLETE,-0.18623471,sigmoid,relu,relu,,,74,630,2,random,lambda,0.0012582243221743558,huber_loss,40,5,80,3,44,48,60,,,RMSprop,86
270,COMPLETE,-0.22511121,relu,relu,tanh,,,38,600,34,random,lambda,0.001888060830644188,huber_loss,40,5,80,3,52,36,52,,,RMSprop,74
271,COMPLETE,0.62598802,sigmoid,relu,relu,,,76,530,8,random,lambda,0.0008653589969755081,huber_loss,40,5,80,3,8,26,58,,,RMSprop,14
272,COMPLETE,0.0459071,sigmoid,relu,relu,,,42,580,2,random,lambda,0.001093462591062144,huber_loss,30,5,80,3,18,8,38,,,Adam,20
273,COMPLETE,0.65469522,relu,sigmoid,tanh,,,72,610,31,random,lambda,0.0006876776089066417,huber_loss,50,5,40,3,22,10,54,,,RMSprop,28
274,COMPLETE,-0.10200451,relu,sigmoid,tanh,,,72,630,33,random,lambda,0.00037914348885014084,huber_loss,50,5,40,3,22,10,18,,,RMSprop,28
275,COMPLETE,0.69625685,relu,sigmoid,tanh,,,70,650,30,random,lambda,0.000519478472832843,huber_loss,50,4,40,3,20,56,56,,,RMSprop,29
