Id,Date,Sample,PDF Type,Target Type,Target Params,Model Type,R2 Score,Train Epoch,Batch Size,Learning Rate,N Layer,N Neurons,Loss Type,Dimension,Max Error,MSE Score,EVS Score,ISE Score,KL Score,Title,PDF params,Model params,Target params,Seed
b0a7cdee,2024-04-12 00-27,50,EXPONENTIAL_06,,None,GMM,0.7069,,,,,,,1,1.0329,0.0468,0.7071,413.7454,0.702,Experiment S50,"[[{'type': 'exponential', 'rate': 0.6, 'weight': 1}]]","{'n_components': 31, 'n_init': 30, 'max_iter': 30, 'init_params': 'random', 'random_state': 49}",,49
0bcb8e84,2024-04-12 00-27,50,EXPONENTIAL_06,,None,GMM,0.7645,,,,,,,1,1.0493,0.0376,0.7647,395.0874,0.702,Experiment S50,"[[{'type': 'exponential', 'rate': 0.6, 'weight': 1}]]","{'n_components': 31, 'n_init': 30, 'max_iter': 10, 'init_params': 'random', 'random_state': 49}",,49
96c634e9,2024-04-12 00-27,50,EXPONENTIAL_06,,None,GMM,0.7551,,,,,,,1,1.0451,0.0391,0.7553,397.3191,0.702,Experiment S50,"[[{'type': 'exponential', 'rate': 0.6, 'weight': 1}]]","{'n_components': 31, 'n_init': 50, 'max_iter': 10, 'init_params': 'random', 'random_state': 49}",,49
2ca67592,2024-04-12 00-28,50,EXPONENTIAL_06,,None,KNN,0.9078,,,,,,,1,0.7351,0.0147,0.9271,316.2619,0.702,Experiment S50,"[[{'type': 'exponential', 'rate': 0.6, 'weight': 1}]]","{'k1': 3.291443562872368, 'kn': 23}",,49
a2867d5d,2024-04-12 00-32,50,MULTIVARIATE_1254,,None,Parzen Window,0.6615,,,,,,,1,0.1014,0.001,0.662,52.5236,0.1576,Experiment S50,"[[{'type': 'exponential', 'rate': 1, 'weight': 0.2}, {'type': 'logistic', 'mean': 4, 'scale': 0.8, 'weight': 0.25}, {'type': 'logistic', 'mean': 5.5, 'scale': 0.7, 'weight': 0.3}, {'type': 'exponential', 'mean': -1, 'weight': 0.25, 'shift': -10}]]",{'h': 0.53249163817731},,49
9ca0be22,2024-04-12 00-34,50,MULTIVARIATE_1254,,None,GMM,0.072,,,,,,,1,0.2248,0.0026,0.0913,82.3759,0.1576,Experiment S50,"[[{'type': 'exponential', 'rate': 1, 'weight': 0.2}, {'type': 'logistic', 'mean': 4, 'scale': 0.8, 'weight': 0.25}, {'type': 'logistic', 'mean': 5.5, 'scale': 0.7, 'weight': 0.3}, {'type': 'exponential', 'mean': -1, 'weight': 0.25, 'shift': -10}]]","{'n_components': 4, 'n_init': 60, 'max_iter': 70, 'init_params': 'kmeans', 'random_state': 55}",,55
cdddfb13,2024-04-12 00-34,50,MULTIVARIATE_1254,,None,KNN,0.4752,,,,,,,1,0.1541,0.0015,0.5261,64.3591,0.1576,Experiment S50,"[[{'type': 'exponential', 'rate': 1, 'weight': 0.2}, {'type': 'logistic', 'mean': 4, 'scale': 0.8, 'weight': 0.25}, {'type': 'logistic', 'mean': 5.5, 'scale': 0.7, 'weight': 0.3}, {'type': 'exponential', 'mean': -1, 'weight': 0.25, 'shift': -10}]]","{'k1': 7.255122108569863, 'kn': 23}",,55
0319dd0d,2024-04-12 10-39,100,EXPONENTIAL_06,,None,KNN,0.5696,,,,,,,1,1.1681,0.0688,0.5791,215.9923,0.702,Experiment S100,"[[{'type': 'exponential', 'rate': 0.6, 'weight': 1}]]","{'k1': 7.255122108569863, 'kn': 23}",,55
2bc875cd,2024-04-12 10-39,100,EXPONENTIAL_06,,None,Parzen Window,0.9247,,,,,,,1,0.8547,0.012,0.9263,300.9994,0.702,Experiment S100,"[[{'type': 'exponential', 'rate': 0.6, 'weight': 1}]]",{'h': 0.1115631857896388},,55
ff1ae4e8,2024-04-12 10-39,100,EXPONENTIAL_06,,None,KNN,0.9138,,,,,,,1,0.801,0.0138,0.9219,314.8277,0.702,Experiment S100,"[[{'type': 'exponential', 'rate': 0.6, 'weight': 1}]]","{'k1': 3.1153372021501275, 'kn': 23}",,55
